Q122,Q124,Country,Country_2_TEXT,Ethnicity ,Race,Education,Income,Age,Gender,Gender_4_TEXT,Relationship_status,Duration,Q109,Social_health _1,Social_health _2,Social_health _3,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Experience_6,Consciousness_1,Consciousness_2,Consciousness_3,Consciousness_4,Consciousness_5,Agency_1,Agency_2,Agency_3,Agency_4,Agency_5,Q99_1,Q110_1,Q102_1,Q103_1,Q104_1,Q105_1,Q106_1,Q111_1,Q112_1,Q113_1
1,,1,,2,2,6,4,4,1,,3,5,"372,441",7,6,6,1,1,1,5,1,4,1,2,1,1,5,1,4,1,7,1,6,,1,,4,4,7,7,7,7
1,,1,,2,1,6,4,4,1,,1,5,"506,385",7,7,7,6,7,5,7,7,7,6,7,7,5,7,5,5,6,7,3,7,5,7,7,7,7,7,6,6,5
1,,1,,2,"1,4",6,6,4,1,,1,2,30,5,4,6,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,2,,5,3,4,3,6,5,4,2
1,,1,,2,1,5,4,6,1,,4,4,"244,851",4,4,5,3,3,1,6,3,6,5,5,4,3,6,2,2,1,2,6,5,2,5,3,5,2,5,7,7,2
1,,1,,2,1,5,5,5,1,,1,2,37000,7,6,6,5,5,1,7,3,7,5,6,5,3,6,2,3,1,6,4,5,,5,4,6,5,7,7,7,4
1,,1,,2,1,5,2,5,1,,4,4,"160,000",6,5,6,5,5,2,7,3,7,7,7,7,4,7,1,3,2,1,1,1,,5,5,7,7,7,6,7,5
1,,1,,2,1,3,5,5,1,,1,5,194,4,4,4,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,7,1,1,2,2,4,4,3,7,4,1
1,,2,Mexico,2,1,6,3,2,1,,1,2,16943,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,1,4,4,4,,,1,,4,2,,2,4,
1,,1,,2,1,5,4,4,1,,1,3,"53,503",6,4,6,5,6,1,6,5,7,5,6,6,3,6,2,5,2,5,2,5,5,5,5,7,5,6,5,6,3
1,,1,,2,1,5,5,4,1,,1,1,9650,5,4,5,2,2,2,3,2,3,2,5,6,1,4,3,3,5,2,6,2,2,3,2,3,3,7,5,5,2
1,,1,,1,"1,3",6,4,3,1,,1,1,11,4,4,7,7,7,1,7,4,7,4,7,6,6,7,3,4,3,7,2,6,5,7,6,7,6,7,7,7,7
1,,1,,1,1,5,4,2,2,,1,1,1089,4,5,6,4,4,4,4,4,4,5,6,6,6,7,6,4,7,5,4,5,,5,4,,5,5,,,
1,,2,Canada,2,1,4,5,3,1,,1,4,45,4,4,5,1,1,1,1,1,3,1,1,3,1,2,1,1,2,1,1,1,,3,2,4,3,5,3,4,
1,,1,,2,2,4,2,1,1,,5,2,N/A,6,4,2,5,2,4,7,6,7,6,6,7,3,7,5,6,7,4,5,2,4,6,2,1,3,7,,4,
1,,1,,2,1,5,5,6,1,,1,2,34,6,6,7,6,7,2,7,5,7,7,7,7,7,7,5,6,2,7,1,6,7,6,6,7,7,7,6,7,7
1,,2,Canada ,2,"1,3",2,2,2,1,,1,1,8662 Exp (Level 13),6,6,7,3,3,1,5,5,5,5,6,6,6,6,4,6,5,7,3,5,4,5,5,7,5,7,7,7,3
1,,2,Canada,2,4,5,2,2,1,,5,6,245483,6,6,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,5,5,4,3,4,3,4,4,7,6,6,4
1,,1,,2,1,5,3,3,2,,1,4,201947,7,7,6,1,2,1,2,1,2,1,1,2,1,6,1,1,3,3,3,4,2,5,3,4,5,6,7,6,3
1,,2,France,2,1,6,7,1,1,,5,6,31872,7,7,7,6,5,1,7,5,6,6,7,5,5,6,5,4,3,6,1,5,3,4,4,4,4,6,7,7,5
1,,1,,2,1,6,7,4,2,,,1,8433,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,5,,4,6,6,2,6,4
1,,2,Ireland,2,1,2,3,5,1,,1,6,210,7,4,7,7,7,1,6,7,6,7,7,7,5,7,5,3,6,3,6,7,7,7,6,7,7,7,7,7,7
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,Canada,2,7,7,7,5,1,,4,5,"195,451",4,4,5,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,6,,6,6,4,6,6,7,7,7
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,2,1,6,4,4,1,,1,5,"506,935",7,7,7,6,7,3,7,5,7,6,7,7,5,7,5,5,6,6,5,,,,,,,,,,
1,,1,,2,"1,3",5,3,3,1,,1,5,343291,7,7,7,6,6,4,7,5,6,7,7,7,6,7,5,6,5,6,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,2,2,6,4,4,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,Germany,2,1,3,1,4,4,AMAB genderqueer,5,3,76.5,4,4,6,3,5,1,6,3,6,4,5,4,1,7,2,4,4,5,3,3,3,5,4,6,5,6,3,4,5
1,,1,,1,"1,3",5,3,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,2,1,3,2,2,1,,3,6,"243,098",4,5,5,5,5,4,6,5,6,6,5,5,4,6,3,4,4,5,4,5,5,4,5,6,7,6,6,7,5
1,,2,European ,2,1,5,3,3,3,,5,2,60k,4,4,6,4,4,3,4,2,4,2,5,5,5,6,3,3,3,5,5,,,,,,,,,,
1,,1,,1,1,5,4,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,2,1,3,2,2,1,,4,5,89364,4,4,5,2,2,2,2,2,2,1,2,5,2,2,3,4,3,4,4,2,1,5,3,4,3,6,5,6,2
1,,2,Spain,1,"1,4",5,3,2,2,,2,1,16,7,3,7,4,5,5,6,4,7,7,7,6,2,5,5,6,3,3,5,4,3,5,3,4,7,7,7,7,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,Hungary,2,1,3,2,3,1,,5,4,68000,6,5,7,2,4,1,6,1,5,2,5,6,1,7,1,1,1,6,6,3,2,,4,7,7,7,7,7,4
1,,2,Sweden,2,1,6,6,4,1,,1,1,n/a,4,3,3,1,1,1,1,1,1,1,1,1,1,5,1,1,5,7,7,2,,,,,4,4,4,5,
1,,1,,2,1,5,4,4,1,,1,1,Na,6,6,6,4,4,4,6,4,6,6,6,6,5,5,4,5,3,5,3,5,6,5,4,7,4,7,7,7,6
1,,2,Austria,2,1,6,3,5,1,,4,1,5000,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,2,3,3,7,4,7,7,7,2
1,,2,UK,2,1,3,3,2,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,2,1,3,3,3,1,,5,1,Lvl 16,4,4,5,5,5,1,6,3,6,5,5,6,6,6,2,4,5,5,3,,,,,,,,,,
1,,1,,2,1,1,4,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,2,1,1,4,3,1,,2,5,45275,4,5,4,1,7,1,5,1,7,7,6,6,7,4,1,1,1,7,7,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,2,1,2,2,2,2,,1,1,N/A,5,4,4,5,5,5,5,5,5,5,6,6,6,5,6,5,6,5,3,5,3,5,4,1,5,6,1,2,3
1,,1,,2,1,6,6,4,1,,1,6,268000,4,7,4,1,1,1,1,1,1,1,1,1,1,4,1,1,2,4,4,1,1,3,2,4,4,5,3,4,4
1,,1,,2,1,3,1,2,1,,2,2,N/A,6,5,6,4,5,4,6,5,5,6,6,5,4,5,4,5,4,6,5,4,3,3,3,4,3,5,5,6,5
1,,1,,2,1,3,1,2,1,,2,2,N/A,5,4,5,5,6,4,6,5,5,5,6,5,5,4,5,4,6,4,4,3,4,3,4,3,2,5,6,6,3
1,,2,Germany,2,1,2,1,5,1,,5,5,146,7,6,7,4,4,4,4,4,4,2,5,5,4,6,3,1,1,2,6,6,2,2,2,6,6,7,7,7,4
1,4,1,,1,1,4,4,1,3,,5,6,N/A,4,4,5,6,5,4,6,6,6,5,5,5,5,6,3,3,3,5,6,1,2,4,3,4,5,7,4,5,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,,2,"1,3",3,4,2,1,,5,1,level 14,4,4,5,1,2,1,2,1,1,5,5,4,5,6,1,4,5,6,6,4,3,4,4,4,3,5,5,7,5
1,4,1,,2,1,5,4,3,1,,5,5,"265,327",4,4,5,1,1,1,1,1,1,1,1,1,1,3,1,1,3,4,2,1,1,3,2,4,3,4,5,7,4
1,4,1,,2,1,2,4,1,2,,5,5,"186,373",4,4,4,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,4,2,5,1,2,1
1,4,1,,2,4,3,1,3,1,,2,5,152851,6,4,7,4,5,2,6,5,5,5,5,5,5,6,4,6,5,5,4,5,5,4,5,6,5,5,6,7,5
1,4,1,,1,1,4,2,1,1,,2,3,15000,3,4,3,1,1,1,1,1,1,1,5,5,1,5,1,6,5,2,7,1,1,5,4,4,3,5,5,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,,1,6,3,3,2,1,,5,4,"50,015",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,4,2,Germany ,2,1,2,1,1,1,,5,6,"188,779",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,5,7,7,7,6,7,7,7,7,7,7
1,4,1,,2,1,5,5,4,1,,1,5,Level 24,4,4,5,4,4,1,3,2,4,5,5,5,3,5,5,5,5,5,5,4,3,3,3,4,3,6,4,5,3
1,4,1,,2,1,4,1,2,2,,5,6,"287,540",7,7,7,2,1,1,2,1,2,1,1,1,1,3,2,2,2,5,5,4,1,3,3,5,3,5,6,6,4
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,,2,1,5,3,5,1,,4,5,"385,000",4,4,6,5,5,4,5,5,5,5,5,5,5,6,2,3,2,2,2,5,5,6,6,6,5,7,6,7,3
1,4,2,Indonesia,2,4,6,1,2,2,,5,1,18096,4,4,5,1,1,1,1,1,1,1,5,4,1,6,1,1,2,1,1,2,1,5,3,1,5,6,2,1,2
1,4,2,India ,2,4,6,1,2,1,,5,4,202975,6,4,5,6,7,5,7,7,7,4,4,5,4,6,4,3,6,7,1,5,5,5,5,7,7,7,2,6,4
1,4,1,,2,1,5,4,3,1,,1,5,400k XP,7,6,7,1,1,1,7,1,6,6,7,7,6,7,7,6,7,6,7,5,1,5,3,1,1,4,7,6,2
1,4,1,,2,1,2,2,2,1,,5,5,lvl 66,4,4,4,5,5,1,6,6,5,3,5,4,4,5,4,4,4,6,2,4,2,3,4,4,5,6,7,7,4
1,4,1,,2,1,6,7,4,1,,5,6,"111,929",6,6,7,5,6,4,6,4,7,5,7,7,6,6,4,4,4,7,4,4,5,3,3,2,2,2,7,7,5
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,,2,1,4,6,4,1,,1,3,35k,2,7,7,5,6,4,7,5,7,3,5,5,5,7,5,4,3,2,5,,,,,,,,,,
1,4,1,,2,1,2,1,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,Northern Europe,2,1,2,7,2,2,,5,3,36,6,4,6,1,1,1,1,1,1,1,1,5,5,6,4,4,3,1,7,,,,,,,,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,India,2,4,6,1,2,1,,5,4,202976,7,4,6,6,7,6,7,7,7,5,6,6,4,6,4,4,3,5,1,,,,,,,,,,
1,4,1,,2,1,2,1,3,2,,4,3,13000,5,5,6,1,5,1,5,6,6,5,4,6,6,7,5,5,5,5,5,5,5,3,3,2,2,3,7,5,5
1,4,1,,2,2,5,4,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,,2,1,2,1,3,1,,2,4,N/A,6,4,7,5,6,2,6,1,7,6,6,7,4,6,5,6,3,6,3,5,5,6,6,6,6,6,6,7,6
1,4,2,Canada,2,3,2,1,2,2,,5,1,N/a,4,4,4,5,5,4,3,2,4,4,4,3,5,3,5,5,4,4,5,4,4,5,5,2,2,2,4,4,4
1,4,1,,2,1,5,7,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
